id,name,is_base,success,max_force,max_stretch,mean_stretch,energy,n_nodes,n_edges,feat_n_node,feat_n_edge,feat_total_length,feat_mean_edge_len,feat_len_cv,feat_deg2_count,feat_deg4_count,feat_degree_entropy,feat_orient_entropy,feat_anisotropy,feat_radius_gyration,feat_moment_total,feat_clustering_coef,feat_fiedler_value,feat_lambda_max,feat_spectral_gap_ratio,feat_aspl_giant,feat_boundary_frac,feat_fractal_dim_box,feat_rigidity_index,feat_redundancy_ratio,feat_max_k_core,feat_kcore_frac,feat_triangle_count,feat_triangle_ratio,feat_quad_count,feat_quad_ratio,feat_avg_shortest_dy,feat_straightness,feat_mesh_median_area,feat_mesh_cv_area,feat_mesh_max_area_ratio,feat_edge_betweenness_max,feat_edge_betweenness_gini,feat_largest_pore_ratio,feat_top_area_sum_ratio,feat_top_convexity_min,feat_top_convexity_mean,feat_top_circularity_min,feat_big_pore_count,feat_total_pore_count,feat_total_pore_ratio,feat_center_pore_ratio,feat_edge_pore_ratio,feat_pore_area_cv,feat_pore_area_skew,feat_pore_area_kurtosis,feat_pore_area_max_over_mean,feat_pore_large_area_frac,feat_pore_count_large_frac,feat_pore_density,feat_pore_spatial_cv,feat_contact_thick,feat_contact_canvas_size,feat_contact_nodes,feat_contact_edges,feat_contact_edge_pixel_union_count,feat_contact_edge_pixel_sum,feat_contact_raw_overlap_pixel_count,feat_contact_overlap_pixel_count,feat_contact_overlap_pair_count,feat_contact_overlap_pairs_per_edge,feat_contact_edges_with_contact_count,feat_contact_edges_with_contact_ratio,feat_contact_overlap_pixel_ratio_union,feat_contact_raw_overlap_pixel_ratio_union,feat_contact_overlap_pixel_ratio_canvas,feat_contact_overlap_length_px_approx,feat_contact_overlap_length_ratio_centerline,feat_contact_centerline_length_px,feat_contact_overlap_pair_size_sum,feat_contact_overlap_pair_size_mean,feat_contact_overlap_pair_size_median,feat_contact_overlap_pair_size_max,feat_contact_overlap_pair_size_std,feat_contact_overlap_pair_size_q75,feat_contact_overlap_pair_size_q90,feat_contact_overlap_pair_size_q95,feat_contact_overlap_cc_count,feat_contact_overlap_cc_size_sum,feat_contact_overlap_cc_size_mean,feat_contact_overlap_cc_size_median,feat_contact_overlap_cc_size_max,feat_contact_overlap_cc_size_std,feat_contact_overlap_cc_size_q75,feat_contact_overlap_cc_size_q90,feat_contact_overlap_cc_size_q95,feat_contact_edge_contact_degree_mean,feat_contact_edge_contact_degree_median,feat_contact_edge_contact_degree_max,feat_contact_edge_contact_degree_std,feat_contact_edge_contact_degree_q75,feat_contact_edge_contact_degree_q90,feat_contact_edge_contact_degree_q95
0,voronoi_2x2_n5_seed0,True,True,13.13171035688267,7.565855178441335,1.1511834242317336,163.05160315310673,232,289,232.0,289.0,355.28232757091723,1.2293506144322395,0.6617634531313084,26.0,0.0,1.186412987229861,3.9390074951233154,0.06487308885486266,8.768648998555204,4482.165690406584,0.0,0.016293096710932934,5.527155078043233,0.0029478269527219774,11.430362740707569,0.16608996539792387,0.03492863559926127,-172.0,0.20069204152249134,2.0,0.008620689655172414,0.0,0.0,0.0,0.0,20.00617924770616,1.0003089623852581,262.0,0.8884078755799597,0.0165863037109375,0.15507050988747145,0.3971052759713769,0.0165863037109375,0.0497589111328125,0.9712399811409712,0.9712399811409712,0.6995415976369269,24.0,86.0,0.3990478515625,0.272003173828125,0.127044677734375,0.8884078755799597,1.4647526548798429,1.8964538788156213,3.574564086876721,0.2925971245029061,0.09302325581395349,0.001312255859375,0.25264319906931226,5.0,256.0,232.0,289.0,33120.0,52366.0,9885.0,1797.0,305.0,1.055363321799308,192.0,0.6643598615916955,0.05425724637681159,0.29846014492753625,0.0274200439453125,359.4,0.08202150599609216,4381.777628139665,5860.0,19.21311475409836,16.0,55.0,14.07114796498158,32.0,37.0,39.60000000000002,54.0,1797.0,33.27777777777778,39.0,98.0,22.130435441705757,43.25,63.20000000000002,65.0,2.110726643598616,2.0,12.0,2.1065532511704426,4.0,4.0,6.0
1,voronoi_2x2_n5_seed1001,False,True,34.832019721116154,18.416009860558077,1.1100865648114486,119.38858347939023,226,284,226.0,284.0,340.737786664553,1.1997809389596938,0.7596885839940114,22.0,0.0,1.1395109004150126,3.8956861410766215,0.06938118577915964,8.771111440724932,4423.2720284719035,0.0,0.014383369510879866,5.663164595942534,0.002539811313480545,11.220688298918388,0.15492957746478872,0.04095325084003058,-165.0,0.20774647887323944,2.0,0.008849557522123894,0.0,0.0,4.0,0.014084507042253521,20.02233908890167,1.0011169544450336,199.0,1.0971870538602133,0.02239990234375,0.20302791251845548,0.4508486163476165,0.0215301513671875,0.06097412109375,0.956409149762624,0.9642032888695007,0.6267053349248868,22.0,74.0,0.425628662109375,0.2957763671875,0.129852294921875,1.0971870538602133,1.304685130740647,0.495049219180991,3.894457589445759,0.6220692622069263,0.21621621621621623,0.001129150390625,0.34402056084380056,5.0,256.0,226.0,284.0,31426.0,50644.0,9908.0,1958.0,294.0,1.0352112676056338,202.0,0.7112676056338029,0.06230509768981098,0.3152803411188188,0.029876708984375,391.6,0.09346726062517692,4189.70233406537,5952.0,20.244897959183675,16.0,103.0,17.597383786973854,32.0,43.0,52.0,56.0,1958.0,34.964285714285715,23.0,104.0,29.5531991776297,61.0,67.0,104.0,2.0704225352112675,2.0,8.0,1.7767983840380803,3.25,4.0,6.0
2,voronoi_2x2_n5_seed1002,False,True,18.80929681377064,10.40464840688532,1.139485723320264,151.63990162071696,238,293,238.0,293.0,366.4930299577136,1.2508294537805924,0.7190476775985725,28.0,0.0,1.2212579209200143,3.955639025564393,0.03455041173856674,8.804901616259915,4555.936347221661,0.0,0.01272975894681201,5.715105753676326,0.0022273881701351155,11.789774137503102,0.17747440273037543,0.023191999990204215,-180.0,0.19112627986348124,2.0,0.008403361344537815,0.0,0.0,4.0,0.013651877133105802,20.000000062499996,1.0000000031249499,227.5,0.9656759844785502,0.0184173583984375,0.1779008012039223,0.41388638676619915,0.01788330078125,0.0485382080078125,0.9472727272727273,0.9586561264822135,0.6269704914411157,20.0,84.0,0.3933258056640625,0.2483062744140625,0.14501953125,0.9656759844785502,1.390889222011124,1.581236198797213,3.9332738487799204,0.46425107654110254,0.16666666666666666,0.00128173828125,0.37153361445156197,5.0,256.0,238.0,293.0,34089.0,53910.0,10439.0,1830.0,319.0,1.0887372013651877,225.0,0.7679180887372014,0.05368300624834991,0.3062278154243304,0.027923583984375,366.0,0.08107996656398227,4514.062048991844,6155.0,19.294670846394986,12.0,81.0,17.21760971949319,31.0,45.39999999999998,50.19999999999993,70.0,1830.0,26.142857142857142,17.0,107.0,26.8430814253536,32.0,50.700000000000024,102.94999999999997,2.1774744027303754,2.0,8.0,1.7688731985898507,3.0,4.0,6.0
3,voronoi_2x2_n5_seed1003,False,True,25.9395188120165,13.96975940600825,1.204133551749878,216.62837723329915,232,289,232.0,289.0,365.39814275844833,1.2643534351503403,0.7031805815598366,26.0,0.0,1.186412987229861,4.012812977816263,0.04417148529911987,8.726736695023043,4470.486932792337,0.0,0.014004268132160106,5.664861492378373,0.0024721289569037616,11.550828481862965,0.16608996539792387,0.013096552882944252,-172.0,0.20069204152249134,2.0,0.008620689655172414,0.0,0.0,3.0,0.010380622837370242,20.137336490527463,1.0068668245263228,311.0,0.7175997844535916,0.0124359130859375,0.1784427475881312,0.42153176464315895,0.01171875,0.03131103515625,0.9474940334128878,0.9493538103343023,0.6417750395807351,25.0,82.0,0.35235595703125,0.2486114501953125,0.1037445068359375,0.7175997844535916,0.3216091915150206,-0.6670745107211857,2.894075870431318,0.1776805820197471,0.07317073170731707,0.001251220703125,0.2827228145060409,5.0,256.0,232.0,289.0,34309.0,53724.0,10079.0,1810.0,251.0,0.8685121107266436,176.0,0.6089965397923875,0.052755836660934446,0.2937713136494797,0.027618408203125,362.0,0.08059189546138751,4491.766795253479,6358.0,25.330677290836654,25.0,63.0,15.093012259426198,34.0,45.0,54.0,51.0,1810.0,35.490196078431374,35.0,109.0,30.19957962895303,46.0,81.0,109.0,1.7370242214532872,2.0,7.0,1.7977435307021652,2.0,4.0,6.0
4,voronoi_2x2_n5_seed1004,False,True,17.18635517783101,9.593177588915506,1.1345658183413856,145.7800402037724,232,288,232.0,288.0,364.4998985158152,1.2656246476243582,0.7937698116838642,24.0,0.0,1.1785594639469634,3.7892007381402215,0.07682010069376849,8.804279597272577,4483.842243193696,0.0,0.01197859229820302,5.55275449619015,0.0021572342711026755,11.715032094342439,0.16666666666666666,0.02907619915501894,-173.0,0.19791666666666666,2.0,0.008620689655172414,0.0,0.0,0.0,0.0,20.063902888080307,1.0031951444039653,255.5,0.7717248078221216,0.0125732421875,0.1729662443136468,0.4404020680849844,0.0125732421875,0.0377197265625,0.9542079207920792,0.9542079207920792,0.7355477497012664,21.0,88.0,0.3812255859375,0.2625885009765625,0.1186370849609375,0.7717248078221216,0.9678291512410722,0.418938074320959,2.902337495997438,0.28226064681396096,0.10227272727272728,0.0013427734375,0.272791980296349,5.0,256.0,232.0,288.0,34096.0,53520.0,9607.0,2329.0,339.0,1.1770833333333333,206.0,0.7152777777777778,0.06830713280150165,0.2817632566870014,0.0355377197265625,465.8,0.10385004564836023,4485.313387123724,8310.0,24.513274336283185,21.0,79.0,19.0772911895591,41.0,50.0,53.0,55.0,2329.0,42.345454545454544,39.0,102.0,31.618302054243653,58.0,99.0,102.0,2.3541666666666665,2.0,10.0,2.246814875180715,4.0,6.0,6.0
5,voronoi_2x2_n5_seed1005,False,True,16.92392537395663,9.461962686978316,1.1565838002710978,167.1098009430985,226,284,226.0,284.0,364.8448580389404,1.2846649930948606,0.7181503421856364,22.0,0.0,1.1395109004150126,3.9430654574384416,0.0521719502556572,8.734653234479959,4400.702604540841,0.017699115044247787,0.01359700316150069,5.64643644997848,0.0024080680411359455,11.549223205506392,0.15492957746478872,0.034881551408657806,-165.0,0.20774647887323944,2.0,0.008849557522123894,4.0,0.014084507042253521,0.0,0.0,20.110278841921552,1.0055139420960275,304.0,0.63742360007944,0.0102386474609375,0.18032992152063954,0.3982972912578283,0.0102386474609375,0.0307159423828125,0.9588100686498856,0.9588100686498856,0.6737871517025188,28.0,84.0,0.3795623779296875,0.2586669921875,0.1208953857421875,0.63742360007944,0.09158976792514911,-0.8834954875355421,2.2658894472361806,0.10789949748743718,0.047619047619047616,0.00128173828125,0.24419328749483246,5.0,256.0,226.0,284.0,34028.0,53144.0,9730.0,1706.0,293.0,1.0316901408450705,200.0,0.704225352112676,0.050135182790643,0.285940989773128,0.026031494140625,341.2,0.07597385323777667,4491.018757889514,6130.0,20.92150170648464,18.0,54.0,16.094769945167936,34.0,44.0,47.0,63.0,1706.0,27.07936507936508,19.0,76.0,24.682299799783642,49.5,62.0,74.99999999999999,2.063380281690141,2.0,9.0,1.9526608380216937,3.0,5.0,6.0
6,voronoi_2x2_n5_seed1006,False,True,12.693670493273297,7.346835246636648,1.1161503836669804,119.04383881473404,226,284,226.0,284.0,359.4042873060446,1.2655080538945231,0.6921207462422795,22.0,0.0,1.1395109004150126,4.001337443200233,0.013683453173653796,8.703501482479558,4388.484823018285,0.0,0.016214877659807878,5.618134052696204,0.0028861678108273855,11.447394296951819,0.15492957746478872,0.025279892730575258,-165.0,0.20774647887323944,2.0,0.008849557522123894,0.0,0.0,3.0,0.01056338028169014,20.002161060158354,1.0001080530078679,288.0,0.659025761605077,0.0127105712890625,0.14353728937621799,0.3983497427906751,0.01092529296875,0.031829833984375,0.95141065830721,0.9574625566004876,0.7340061718898824,23.0,82.0,0.395751953125,0.2487335205078125,0.1470184326171875,0.659025761605077,0.3409019763483932,-0.6493335808128653,2.6336366440468844,0.16987970388648982,0.07317073170731707,0.001251220703125,0.26107191549456005,5.0,256.0,226.0,284.0,33594.0,52712.0,9704.0,1758.0,364.0,1.2816901408450705,221.0,0.778169014084507,0.052330773352384355,0.28886110614990773,0.026824951171875,351.6,0.07946798689818767,4424.423138470349,6690.0,18.37912087912088,13.0,61.0,15.739786616839188,28.0,43.0,47.0,66.0,1758.0,26.636363636363637,15.0,78.0,24.49343533797673,43.0,67.0,69.0,2.563380281690141,2.0,10.0,2.1623044199838306,4.0,6.0,6.0
7,voronoi_2x2_n5_seed1007,False,True,6.084722781354975,4.042361390677487,1.0869314844544815,95.18005728595392,232,289,232.0,289.0,371.91737874798997,1.2869113451487542,0.8137963139575003,26.0,0.0,1.186412987229861,3.9773062779764907,0.10813551104634926,8.77049562188625,4498.789351848198,0.017241379310344827,0.01471589954675354,5.645218355785112,0.002606790139777385,11.43868487834005,0.16608996539792387,0.05554260510313128,-172.0,0.20069204152249134,2.0,0.008620689655172414,4.0,0.01384083044982699,8.0,0.02768166089965398,20.002888571853283,1.0001444285926142,218.5,0.8542615632630405,0.0119171142578125,0.15014302089951861,0.42398723026297663,0.0119171142578125,0.0357513427734375,0.9555264879005886,0.9555264879005886,0.7338899742953683,21.0,92.0,0.3962249755859375,0.23675537109375,0.1594696044921875,0.8542615632630405,0.7554206020203694,-0.6144723146568918,2.767050487156776,0.4177610043516771,0.16304347826086957,0.00140380859375,0.15355157528159194,5.0,256.0,232.0,289.0,34681.0,54275.0,9837.0,2079.0,359.0,1.2422145328719723,210.0,0.726643598615917,0.05994636832847957,0.28364234018626916,0.0317230224609375,415.8,0.09074493939728923,4582.073697571073,7111.0,19.807799442896936,17.0,77.0,15.871150590390128,28.0,47.0,50.0,50.0,2079.0,41.58,36.5,99.0,27.77559360301774,64.0,85.0,85.0,2.4844290657439445,2.0,8.0,2.1662557836970353,4.0,6.0,6.0
